table_name,state_code,distt_code,area_name,population_type,age_group,total_persons,total_males,total_females,illiterate_persons,illiterate_males,illiterate_females,literate_persons,literate_males,literate_females
C2308,02,000,State - HIMACHAL PRADESH,Rural,40-44,394635,195137,199498,85234,21940,63294,309401,173197,136204
C2308,02,000,State - HIMACHAL PRADESH,Rural,45-49,350793,173489,177304,94833,25491,69342,255960,147998,107962
C2308,02,000,State - HIMACHAL PRADESH,Rural,50-54,295411,145792,149619,95204,25000,70204,200207,120792,79415
C2308,02,000,State - HIMACHAL PRADESH,Rural,55-59,240093,119998,120095,88098,22614,65484,151995,97384,54611
C2308,02,000,State - HIMACHAL PRADESH,Rural,60-64,212263,105331,106932,103477,28787,74690,108786,76544,32242
C2308,02,000,State - HIMACHAL PRADESH,Rural,65-69,146096,71950,74146,81753,23846,57907,64343,48104,16239
C2308,02,000,State - HIMACHAL PRADESH,Rural,70-74,120932,57250,63682,79621,25348,54273,41311,31902,9409
C2308,02,000,State - HIMACHAL PRADESH,Rural,75-79,69958,33561,36397,48919,16935,31984,21039,16626,4413
C2308,02,000,State - HIMACHAL PRADESH,Rural,80+,100043,45339,54704,77356,28192,49164,22687,17147,5540
C2308,02,000,State - HIMACHAL PRADESH,Rural,Age not stated,9386,4899,4487,2825,1273,1552,6561,3626,2935
C2308,02,000,State - HIMACHAL PRADESH,Urban,All ages,688552,371528,317024,120552,56759,63793,568000,314769,253231
C2308,02,000,State - HIMACHAL PRADESH,Urban,0-6,65076,34605,30471,65076,34605,30471,0,0,0
C2308,02,000,State - HIMACHAL PRADESH,Urban,7,10854,5828,5026,1787,926,861,9067,4902,4165
C2308,02,000,State - HIMACHAL PRADESH,Urban,8,10831,5877,4954,600,301,299,10231,5576,4655
C2308,02,000,State - HIMACHAL PRADESH,Urban,9,10910,5974,4936,470,250,220,10440,5724,4716
C2308,02,000,State - HIMACHAL PRADESH,Urban,10,12262,6795,5467,651,356,295,11611,6439,5172
C2308,02,000,State - HIMACHAL PRADESH,Urban,11,11940,6693,5247,405,210,195,11535,6483,5052
C2308,02,000,State - HIMACHAL PRADESH,Urban,12,11593,6475,5118,336,179,157,11257,6296,4961
C2308,02,000,State - HIMACHAL PRADESH,Urban,13,11447,6331,5116,301,151,150,11146,6180,4966
C2308,02,000,State - HIMACHAL PRADESH,Urban,14,11717,6446,5271,306,154,152,11411,6292,5119
C2308,02,000,State - HIMACHAL PRADESH,Urban,15,12264,6782,5482,424,225,199,11840,6557,5283
C2308,02,000,State - HIMACHAL PRADESH,Urban,16,12329,6912,5417,411,247,164,11918,6665,5253
